Region;Kön;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Stockholms län;Män;1;5;3;3;4;3;5;2;4;4;7;4;2
Stockholms län;Kvinnor;3;4;5;3;5;1;5;6;2;6;3;­­;2
Uppsala län;Män;­­;­­;1;­­;­­;­­;­­;2;2;­­;­­;1;1
Uppsala län;Kvinnor;1;­­;2;­­;­­;1;­­;­­;4;1;­­;­­;1
Södermanlands län;Män;1;1;1;1;­­;2;­­;1;1;­­;1;3;1
Södermanlands län;Kvinnor;1;1;­­;­­;2;­­;­­;2;­­;­­;1;1;1
Östergötlands län;Män;­­;1;1;­­;3;1;1;­­;2;3;3;3;1
Östergötlands län;Kvinnor;1;1;­­;2;3;­­;­­;3;­­;­­;1;2;­­
Jönköpings län;Män;2;1;­­;1;­­;­­;2;1;1;­­;1;1;1
Jönköpings län;Kvinnor;­­;­­;­­;­­;­­;­­;­­;­­;­­;1;­­;3;1
Kronobergs län;Män;2;­­;­­;2;­­;­­;1;­­;1;­­;1;­­;1
Kronobergs län;Kvinnor;­­;­­;1;1;­­;­­;­­;­­;1;­­;­­;1;­­
Kalmar län;Män;1;­­;2;­­;1;2;­­;2;­­;1;1;1;­­
Kalmar län;Kvinnor;­­;1;­­;­­;­­;­­;1;1;­­;­­;­­;2;2
Gotlands län;Män;­­;­­;­­;­­;­­;­­;­­;1;1;­­;­­;­­;­­
Gotlands län;Kvinnor;­­;1;­­;­­;­­;1;­­;­­;­­;­­;­­;­­;­­
Blekinge län;Män;­­;­­;1;­­;3;1;1;­­;­­;­­;­­;­­;­­
Blekinge län;Kvinnor;1;­­;­­;­­;­­;­­;­­;­­;­­;1;­­;­­;­­
Skåne län;Män;3;1;1;­­;3;3;4;2;5;4;3;1;1
Skåne län;Kvinnor;1;1;2;3;2;2;4;1;3;3;2;4;5
Hallands län;Män;1;­­;­­;1;­­;­­;3;1;­­;­­;­­;­­;­­
Hallands län;Kvinnor;1;1;­­;­­;1;­­;­­;1;­­;­­;2;­­;­­
Västra Götalands län;Män;3;4;2;2;3;4;5;5;3;7;6;3;5
Västra Götalands län;Kvinnor;4;1;3;1;4;5;5;4;3;3;6;2;3
Värmlands län;Män;2;1;­­;1;1;1;1;1;1;1;3;1;1
Värmlands län;Kvinnor;1;2;1;1;1;­­;2;2;1;­­;1;1;2
Örebro län;Män;­­;­­;­­;­­;­­;­­;1;1;1;­­;1;­­;­­
Örebro län;Kvinnor;­­;3;­­;2;­­;­­;1;4;­­;­­;1;5;­­
Västmanlands län;Män;­­;­­;1;­­;2;1;­­;1;­­;2;­­;­­;­­
Västmanlands län;Kvinnor;­­;1;1;­­;­­;­­;­­;1;2;­­;1;­­;1
Dalarnas län;Män;1;1;­­;­­;­­;3;­­;­­;­­;­­;­­;­­;­­
Dalarnas län;Kvinnor;­­;­­;1;­­;2;1;1;­­;1;1;1;­­;1
Gävleborgs län;Män;­­;­­;­­;1;1;1;­­;­­;4;­­;1;­­;­­
Gävleborgs län;Kvinnor;2;­­;­­;­­;­­;­­;1;­­;2;1;­­;1;3
Västernorrlands län;Män;1;2;1;1;1;­­;1;­­;2;1;­­;1;1
Västernorrlands län;Kvinnor;1;­­;­­;1;­­;­­;­­;­­;2;­­;2;1;­­
Jämtlands län;Män;­­;­­;­­;1;­­;1;1;2;2;1;1;1;1
Jämtlands län;Kvinnor;­­;­­;­­;­­;­­;­­;­­;­­;­­;­­;­­;­­;­­
Västerbottens län;Män;2;­­;1;­­;­­;­­;­­;­­;­­;­­;­­;­­;1
Västerbottens län;Kvinnor;­­;­­;­­;­­;­­;­­;1;2;­­;­­;­­;­­;­­
Norrbottens län;Män;­­;­­;­­;­­;­­;­­;1;­­;­­;1;­­;­­;3
Norrbottens län;Kvinnor;1;1;­­;1;­­;1;1;­­;1;­­;2;­­;1
